 0910050301,,,,,,,,,,,,,,,
Date,Sensor1 (S1),Sensor2 (S2),Sensor3 (S3),Sensor4 (S4),Sensor Temperature1 (S1),Sensor Temperature2 (S2),Sensor Temperature3 (S3),Level(AI_1),Level(AI_2),Level(AI_3),Paddlewheel FlowMeter Rate(DI_6),Contact FlowMeter Total(DI_1),Contact FlowMeter Total(DI_2),Contact FlowMeter Total(DI_3),Paddlewheel FlowMeter Total(DI_6)
,Blr1 TDS,Blr2 TDS,Blr3 TDS,Sensor4,Blr1 TDS,Blr2 TDS,Blr3 TDS,PP3060M,WT3459,CQ3535,Boiler MU,CQ-3535,WT-3459,PP-3060M,Boiler MU
,µS,µS,µS,,F,F,F,Gallons,Gallons,Gallons,GPM,Gallons,Gallons,Gallons,Gallons
10/31/2011 0:54,1872.69,1991.75,34.36,     N/A,331,310,139,79,55,56,0,0,0,0,85.56
10/31/2011 1:14,2141.14,1992.21,34.36,     N/A,284,310,139,79,55,56,0,0,0.01,0,123.28
10/31/2011 1:34,1864.26,1992.21,34.36,     N/A,334,310,139,79,55,56,0,0,0.01,0,170.15
10/31/2011 1:54,1864.26,1992.21,34.36,     N/A,334,310,139,79,55,55,9.3,0,0.01,0,194.46
10/31/2011 2:14,1864.26,1993.88,34.36,     N/A,334,310,139,79,55,56,10.04,0,0.01,0,232.11
10/31/2011 2:34,1871.19,1993.88,34.36,     N/A,333,310,139,79,55,56,0,0,0.01,0,276.82
10/31/2011 2:54,1871.19,1993.88,34.36,     N/A,333,310,139,79,55,56,0,0,0.01,0,308.64
10/31/2011 3:14,1871.19,1990.2,34.36,     N/A,333,310,139,79,55,56,0,0,0.01,0,341.7
10/31/2011 3:34,1850.63,1990.2,34.36,     N/A,334,310,139,79,55,56,0,0,0.03,0.01,673.53
10/31/2011 3:54,1850.63,1990.2,34.36,     N/A,334,310,139,79,55,55,0,0,0.04,0.01,1021.51
10/31/2011 4:14,1850.63,1901.54,34.36,     N/A,334,335,139,79,55,56,28.64,0,0.05,0.02,1214.37
10/31/2011 4:34,1856.64,1901.54,34.36,     N/A,327,335,139,79,55,55,30.97,0,0.07,0.02,1751.5
10/31/2011 4:54,1856.64,1901.54,34.36,     N/A,327,335,139,79,55,55,30.97,0,0.09,0.03,2240.68
10/31/2011 5:14,1856.64,1952.9,32.55,     N/A,327,328,145,79,55,55,30.23,0.01,0.12,0.03,2805.37
10/31/2011 5:34,1906.36,1952.9,32.55,     N/A,324,328,145,79,55,55,31.71,0.01,0.14,0.04,3423.24
10/31/2011 5:54,1883.51,1952.9,32.55,     N/A,326,328,145,79,55,55,32.56,0.01,0.17,0.05,4042.57
10/31/2011 6:14,1883.51,1871.71,32.55,     N/A,326,321,145,79,55,55,31.71,0.01,0.19,0.06,4663.75
10/31/2011 6:34,1883.51,1995.49,32.55,     N/A,326,326,145,79,55,55,30.97,0.01,0.22,0.06,5282.21
10/31/2011 6:54,1899.2,1995.49,32.55,     N/A,326,326,145,79,55,55,29.38,0.01,0.25,0.07,5903.37
10/31/2011 7:14,1899.2,1995.49,32.55,     N/A,326,326,145,79,55,55,30.97,0.01,0.27,0.08,6521.12
10/31/2011 7:34,1899.2,1998.74,32.55,     N/A,326,331,145,79,55,55,36.36,0.01,0.3,0.09,7175.68
10/31/2011 7:54,1904.18,1998.74,32.55,     N/A,326,331,145,79,55,55,34.88,0.02,0.33,0.1,7909.47
10/31/2011 8:14,1904.18,1998.74,32.55,     N/A,326,331,145,79,55,55,32.46,0.02,0.36,0.11,8630.46
10/31/2011 8:34,1904.18,2031.13,32.55,     N/A,326,333,145,79,55,55,30.97,0.02,0.39,0.11,9234.75
10/31/2011 8:54,1913.19,1996.22,32.55,     N/A,326,332,145,79,55,55,32.46,0.02,0.41,0.12,9851.63
10/31/2011 9:14,1913.19,1996.22,32.55,     N/A,326,332,145,79,55,55,30.97,0.02,0.44,0.13,10467.15
10/31/2011 9:34,1913.19,1996.22,32.55,     N/A,326,332,145,79,54,55,30.97,0.02,0.47,0.14,11083.68
10/31/2011 9:54,1930.08,2055.05,32.55,     N/A,326,327,145,79,55,55,36.36,0.02,0.49,0.14,11806.78
10/31/2011 10:14,1929.44,1999.62,29.42,     N/A,326,330,155,79,55,55,39.53,0.03,0.52,0.15,12486.86
10/31/2011 10:34,1929.44,1999.62,29.42,     N/A,326,330,155,79,55,55,37.21,0.03,0.56,0.16,13214.38
10/31/2011 10:54,1929.44,1999.62,29.42,     N/A,326,330,155,79,54,55,29.38,0.03,0.58,0.17,13885.86
10/31/2011 11:14,1934.59,2164.37,29.42,     N/A,326,305,155,79,54,55,29.38,0.03,0.61,0.18,14536.8
10/31/2011 11:34,1934.59,1647.9,29.42,     N/A,326,334,155,79,54,55,34.03,0.03,0.64,0.19,15227.03
10/31/2011 11:54,1934.59,1993.54,29.42,     N/A,326,332,155,79,54,55,34.88,0.03,0.67,0.19,15878.51
10/31/2011 12:14,1947.74,1993.54,29.42,     N/A,327,332,155,79,54,55,33.29,0.03,0.69,0.2,16518.47
10/31/2011 12:34,1947.74,1993.54,29.42,     N/A,327,332,155,79,55,55,34.88,0.03,0.72,0.21,17168.27
10/31/2011 12:54,1947.74,2003.78,29.42,     N/A,327,333,155,79,55,55,31.71,0.04,0.75,0.22,17844.81
10/31/2011 13:14,1962.93,1995.89,29.42,     N/A,328,332,155,79,55,55,31.71,0.04,0.78,0.23,18464.41
10/31/2011 13:34,1962.93,1995.89,29.42,     N/A,328,332,155,78,54,55,31.71,0.04,0.8,0.23,19088.27
10/31/2011 13:54,1962.93,1995.89,29.42,     N/A,328,332,155,79,55,55,29.38,0.04,0.83,0.24,19711.36
10/31/2011 14:14,1974.41,2004.48,29.42,     N/A,331,335,155,79,55,55,30.14,0.04,0.86,0.25,20334.72
10/31/2011 14:34,1974.41,1760.79,29.42,     N/A,331,332,155,79,54,55,31.71,0.04,0.88,0.26,20956.62
10/31/2011 14:54,1974.41,1991.79,29.42,     N/A,331,329,155,78,54,55,31.71,0.04,0.91,0.26,21551.18
10/31/2011 15:14,2154.65,1991.79,30.44,     N/A,302,329,147,79,54,55,28.64,0.04,0.94,0.27,22117.06
10/31/2011 15:34,1986.96,1991.79,30.44,     N/A,329,329,147,79,54,55,32.56,0.04,0.96,0.28,22694.61
10/31/2011 15:54,1986.96,1983.56,30.44,     N/A,329,336,147,79,54,55,29.38,0.05,0.98,0.28,23188.92
10/31/2011 16:14,1986.96,1983.56,30.44,     N/A,329,336,147,79,54,55,32.46,0.05,1,0.29,23739.13
10/31/2011 16:34,1974.95,1983.56,30.44,     N/A,331,336,147,78,54,55,0,0.05,1.03,0.3,24312.58
10/31/2011 16:54,1974.95,1860.49,30.44,     N/A,331,332,147,79,54,55,31.71,0.05,1.05,0.3,24899.48
10/31/2011 17:14,1974.95,1992.92,30.44,     N/A,331,330,147,78,54,55,33.29,0.05,1.08,0.31,25484.71
10/31/2011 17:34,1958.31,1992.09,30.44,     N/A,329,328,147,78,54,55,30.97,0.05,1.11,0.32,26090.14
10/31/2011 17:54,1958.31,1992.09,30.44,     N/A,329,328,147,78,54,55,33.29,0.05,1.13,0.33,26675.89
10/31/2011 18:14,1958.31,1992.09,30.44,     N/A,329,328,147,78,54,55,31.71,0.05,1.15,0.33,27223.26
10/31/2011 18:34,1984.32,1972.42,30.44,     N/A,329,330,147,78,54,55,30.97,0.06,1.18,0.34,27800.64
10/31/2011 18:54,1984.32,1972.42,30.44,     N/A,329,330,147,78,54,55,32.56,0.06,1.2,0.35,28348.71
10/31/2011 19:14,1984.32,1972.42,30.44,     N/A,329,330,147,78,54,55,31.71,0.06,1.23,0.36,28907.7
10/31/2011 19:34,2672.09,1990.84,30.44,     N/A,239,332,147,78,54,55,0,0.06,1.25,0.36,29474.2
10/31/2011 19:54,1985.66,1990.84,30.44,     N/A,328,332,147,78,54,55,33.29,0.06,1.27,0.37,30050.25
10/31/2011 20:14,1985.66,1990.84,31.06,     N/A,328,332,148,78,54,55,30.97,0.06,1.3,0.38,30598.52
10/31/2011 20:34,1985.66,2024.12,31.06,     N/A,328,333,148,78,54,55,30.97,0.06,1.32,0.38,31171.25
10/31/2011 20:54,1991.21,1845.15,31.06,     N/A,329,333,148,79,54,55,33.29,0.06,1.34,0.39,31659.79
10/31/2011 21:14,1991.21,1992.19,31.06,     N/A,329,330,148,79,54,55,0,0.06,1.36,0.39,32063.21
10/31/2011 21:34,1991.21,1992.19,31.06,     N/A,329,330,148,79,54,55,32.36,0.07,1.38,0.4,32457.77
10/31/2011 21:54,1992.64,1992.19,31.06,     N/A,333,330,148,78,54,55,31.71,0.07,1.4,0.4,32822.11
10/31/2011 22:14,1992.64,1997.32,31.06,     N/A,333,335,148,78,54,55,0,0.07,1.41,0.41,33160.6
10/31/2011 22:34,1992.64,1997.32,31.06,     N/A,333,335,148,79,54,55,0,0.07,1.42,0.41,33442.45
10/31/2011 22:54,1990.05,1997.32,31.06,     N/A,331,335,148,79,54,55,31.71,0.07,1.43,0.41,33684.25
10/31/2011 23:14,1990.05,2229.82,31.06,     N/A,331,270,148,79,54,55,30.23,0.07,1.45,0.42,34212.75
10/31/2011 23:34,1990.05,1983.38,31.06,     N/A,331,279,148,79,54,55,30.97,0.07,1.47,0.43,34785.8
10/31/2011 23:54,2077.31,1840.11,31.06,     N/A,323,285,148,79,54,55,31.71,0.07,1.49,0.43,35384.04
11/1/2011 0:14,1999.57,2049.69,31.06,     N/A,331,285,148,79,54,56,32.56,0,0.02,0,411.88
11/1/2011 0:34,1999.57,1899.42,31.06,     N/A,331,286,148,79,54,56,31.71,0,0.04,0.01,979.05
11/1/2011 0:54,1999.57,1825.82,31.06,     N/A,331,337,148,80,54,56,0,0,0.04,0.01,1230.02
11/1/2011 1:14,1988.27,1825.82,466.76,     N/A,337,337,92,79,54,55,28.64,0,0.05,0.02,1468.09
11/1/2011 1:34,1988.27,1825.82,28.57,     N/A,337,337,154,79,54,55,32.56,0,0.07,0.02,1868.4
11/1/2011 1:54,1988.27,1714.74,28.57,     N/A,337,277,154,79,54,55,0,0,0.09,0.02,2277.43
11/1/2011 2:14,1987.98,1991.62,28.57,     N/A,333,287,154,79,54,55,18.51,0,0.1,0.03,2663.03
11/1/2011 2:34,1987.98,1991.62,28.57,     N/A,333,287,154,79,54,55,0,0,0.11,0.03,2800.81
11/1/2011 2:54,1987.98,1991.62,28.57,     N/A,333,287,154,79,54,55,14.69,0,0.11,0.03,2863.07
11/1/2011 3:14,2010.25,1891.49,28.57,     N/A,337,280,154,79,54,55,30.14,0,0.13,0.03,3220.63
11/1/2011 3:34,1978.04,1984.87,28.57,     N/A,334,285,154,79,54,55,0,0,0.13,0.04,3415.98
11/1/2011 3:54,1978.04,1984.87,28.57,     N/A,334,285,154,79,54,55,32.56,0,0.14,0.04,3506.62
11/1/2011 4:14,1978.04,1984.87,28.57,     N/A,334,285,154,79,54,55,0,0.01,0.15,0.04,3843.33
11/1/2011 4:34,1978.35,2023.56,28.57,     N/A,332,281,154,79,54,55,33.29,0.01,0.17,0.05,4248.38
11/1/2011 4:54,1978.35,1987.48,28.57,     N/A,332,284,154,79,54,55,32.46,0.01,0.19,0.05,4762.81
11/1/2011 5:14,1978.35,1987.48,28.57,     N/A,332,284,154,79,53,55,30.97,0.01,0.21,0.06,5312.63
11/1/2011 5:34,1987.93,1987.48,28.57,     N/A,327,284,154,79,54,55,32.56,0.01,0.23,0.07,5882.72
11/1/2011 5:54,1987.93,1999.62,28.57,     N/A,327,283,154,79,53,55,3.8,0.01,0.26,0.07,6477.24
11/1/2011 6:14,1987.93,1996.59,28.57,     N/A,327,282,154,79,53,55,32.56,0.01,0.28,0.08,7035.76
11/1/2011 6:34,1980.34,1996.59,29.89,     N/A,334,282,149,79,53,55,32.56,0.01,0.3,0.08,7615.77
11/1/2011 6:54,1976.91,1996.59,29.89,     N/A,331,282,149,79,53,55,34.88,0.01,0.32,0.09,8185.27
11/1/2011 7:14,1976.91,1871.84,29.89,     N/A,331,332,149,79,54,55,31.71,0.01,0.35,0.1,8771
11/1/2011 7:34,1976.91,1871.84,29.89,     N/A,331,332,149,79,54,55,30.97,0.01,0.37,0.1,9331.15
11/1/2011 7:54,1966.84,1871.84,29.89,     N/A,331,332,149,79,54,55,31.71,0.01,0.39,0.11,9915.54
11/1/2011 8:14,1966.84,1790.87,29.89,     N/A,331,280,149,79,54,55,30.97,0.02,0.42,0.12,10499.57
11/1/2011 8:34,1966.84,1984.46,29.89,     N/A,331,287,149,79,54,55,0,0.02,0.44,0.12,11091.95
11/1/2011 8:54,1976.98,1984.46,29.89,     N/A,331,287,149,79,53,55,34.03,0.02,0.47,0.13,11669.22
11/1/2011 9:14,1976.98,1984.46,29.89,     N/A,331,287,149,79,54,55,30.97,0.02,0.49,0.14,12229.94
11/1/2011 9:34,1976.98,1758.58,29.89,     N/A,331,282,149,79,54,55,33.29,0.02,0.51,0.14,12807.36
11/1/2011 9:54,2018.83,1997.06,29.89,     N/A,329,286,149,79,54,55,30.97,0.02,0.53,0.15,13394.91
11/1/2011 10:14,1984.35,1997.06,29.89,     N/A,330,286,149,79,53,55,30.97,0.02,0.56,0.16,13973.7
11/1/2011 10:34,1984.35,1997.06,29.89,     N/A,330,286,149,79,53,55,31.71,0.02,0.58,0.17,14539.31
11/1/2011 10:54,1984.35,2050.57,29.89,     N/A,330,284,149,78,53,55,30.97,0.02,0.61,0.17,15137.26
11/1/2011 11:14,1993.45,1994.68,29.89,     N/A,331,289,149,78,53,55,34.03,0.02,0.63,0.18,15720.58
11/1/2011 11:34,1993.45,1994.68,25.69,     N/A,331,289,159,78,53,55,0,0.03,0.65,0.19,16288.24
11/1/2011 11:54,1993.45,1994.68,25.69,     N/A,331,289,159,78,54,55,32.56,0.03,0.68,0.19,16851.88
11/1/2011 12:14,1981.57,2015.52,25.69,     N/A,330,288,159,78,53,55,30.97,0.03,0.7,0.2,17457.54
11/1/2011 12:34,1981.57,1992.66,25.69,     N/A,330,291,159,78,53,55,32.56,0.03,0.73,0.21,17988.79
11/1/2011 12:54,1981.57,1992.66,25.69,     N/A,330,291,159,78,53,55,31.71,0.03,0.75,0.22,18536.23
11/1/2011 13:14,2326.27,1992.66,25.69,     N/A,280,291,159,78,53,55,0,0.03,0.77,0.22,19077.41
11/1/2011 13:34,1996.21,1945.14,25.69,     N/A,330,301,159,78,53,55,32.56,0.03,0.8,0.23,19645.67
11/1/2011 13:54,1996.21,1945.14,25.69,     N/A,330,301,159,78,53,55,31.71,0.03,0.82,0.24,20195.13
11/1/2011 14:14,1996.21,1945.14,25.69,     N/A,330,301,159,78,53,55,34.03,0.03,0.84,0.24,20690.94
11/1/2011 14:34,1995.04,1994.99,25.69,     N/A,332,297,159,78,53,55,31.71,0.04,0.87,0.25,21205.66
11/1/2011 14:54,1995.04,1994.99,25.69,     N/A,332,297,159,78,53,55,33.29,0.04,0.89,0.25,21667.96
11/1/2011 15:14,1995.04,1994.99,25.69,     N/A,332,297,159,78,53,55,0,0.04,0.91,0.26,22141.59
11/1/2011 15:34,1999.85,2054.35,25.69,     N/A,330,288,159,78,53,55,30.97,0.04,0.93,0.27,22628.51
11/1/2011 15:54,1999.85,1993.84,25.69,     N/A,330,299,159,78,53,55,32.46,0.04,0.95,0.27,23130.21
11/1/2011 16:14,1999.85,1993.84,25.69,     N/A,330,299,159,78,53,55,33.29,0.04,0.97,0.28,23600.95
